Id,SalePrice
2658,167957.59670167253
2718,194431.41358947335
2414,200130.9519695749
1989,154700.42037764983
625,170403.37655891757
333,90636.41324617597
1327,147892.54108642205
858,137120.82141529513
95,227440.75722159073
1568,158010.9472787676
2482,171679.72225121083
1364,140843.93805473053
2584,155712.55155966827
818,341779.73702418525
2673,200530.9876185062
2089,137329.25568195665
1297,159874.97107381304
790,136186.8759139157
2616,229800.43316146685
720,169265.47878161306
222,151400.7698331969
557,140133.9136364403
1148,233438.51018277952
2766,163846.37666481652
534,177287.32301993365
1452,82707.16018603998
630,182802.2167345381
2648,168701.61578551144
125,129091.78396875015
1904,57418.89897453599
1670,128281.16892522981
756,130648.41118757683
717,309486.45002023363
1032,152976.06542576186
852,209087.0985866671
1731,182552.4665428372
2639,133642.7982511092
2071,78876.34651384281
1267,111045.31763313129
1851,204422.48664203007
567,186763.50916768657
2439,199492.13615669846
1898,202304.68651061621
647,191163.51681890152
2256,222413.99626787612
979,120473.44398966909
1444,241491.83007396082
2485,117854.14272400632
157,148629.96971779712
88,108070.49078906258
2003,99883.01156938984
186,263034.9334333937
1425,252591.7524025666
2695,161805.85092834872
738,82965.94612388778
395,157529.05333130364
1353,163400.91316632973
1878,193792.02787117474
390,135014.88959554012
1456,268095.83737962786
1103,306289.41217060573
1387,112637.24303845759
2070,146531.7733726328
1199,140982.9586227145
2479,180735.3947864084
501,280502.5488338531
2362,46678.032806115225
1718,231116.82729964517
2188,61565.2164237391
1483,169896.08154031495
2557,107842.29255973815
437,290410.9832244981
2224,145675.18090153416
1628,162786.31667816336
397,123968.5245374426
587,210453.79853752675
971,179177.03454152378
2611,120396.90454093809
1887,61194.939788691234
2399,284221.94282433763
2148,204166.10090110917
304,144485.62548668892
1997,148135.28244190163
2817,202625.53504515742
1431,221798.07297303108
427,341223.7144418708
263,121300.7121099541
598,150169.0911994715
2895,237737.74182494613
687,186579.22459731298
1822,139601.6641095
2191,171140.47364763427
179,133325.20184072864
1009,195946.4400893827
2010,131242.8071412443
1991,129435.17905676248
1411,159886.2211389374
1721,240721.11072274158
1144,232235.8928482558
593,218297.6518622355
575,272916.3890326908
1249,185052.3694355914
1604,125038.09681304079
1064,373919.907715715
1923,102641.25941200054
1988,88241.3385565097
2325,167818.90036537778
114,231671.95552170277
2700,210543.41228462616
217,189495.3358808402
343,171709.7914374587
386,231672.71942085773
2005,183373.548916623
2908,117459.01487128483
1814,211038.54006958706
2446,419372.1941185673
208,209918.45063354797
1679,133477.98030660138
822,274799.1390144655
6,190288.12093868968
1781,339732.0181652992
2397,264844.0163070711
2340,254000.6291804586
1618,182615.87528271158
2843,201172.83816709789
1061,328321.5709142457
2786,78327.20124637638
1935,153850.12904938706
1341,161036.16462374642
521,259330.84114529542
2136,111600.70693687769
996,210215.5361794522
227,121063.19387842668
135,173664.13354961202
1167,198027.807213309
294,216665.01073321328
1776,204551.8593320069
540,170246.69254028052
1717,234534.41998906294
2303,128357.81599742884
116,202900.2154034865
127,153846.10744764423
1371,148314.09788798972
1014,154141.55870680546
1507,65446.4614921473
702,165390.06715216255
750,179813.9617343773
